Job,company,url
 Windows Engineer ,Susquehanna International Group Limited, https://www.irishjobs.ie/Jobs/Windows-Engineer-8273842.aspx
 Data & Analytics Senior Consultant ,BearingPoint, https://www.irishjobs.ie/Jobs/Data-Analytics-Senior-Consultant-8268269.aspx
 Data & Analytics Manager ,BearingPoint, https://www.irishjobs.ie/Jobs/Data-Analytics-Manager-8268270.aspx
